,plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,violation_status,summons_image
0,HLE3337,NY,PAS,8538415311,06/12/2017,11:16A,NO PARKING-STREET CLEANING,,45.0,0.0,0.0,0.0,45.0,0.0,79.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVrOUVVWGhPVkUxNFRWRTlQUT09&locationName=_____________________)
1,GZY4125,NY,PAS,8538415347,06/12/2017,11:22A,NO PARKING-STREET CLEANING,,45.0,0.0,0.0,0.0,45.0,0.0,79.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVrOUVVWGhPVkUwd1RuYzlQUT09&locationName=_____________________)
2,CVU5153,NY,PAS,8564406226,06/06/2017,08:57A,INSP. STICKER-EXPIRED/MISSING,,65.0,0.0,0.0,0.0,65.0,0.0,102.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNUVVWGRPYWtsNVRtYzlQUT09&locationName=_____________________)
3,43091PC,NY,COM,8478810950,03/27/2017,11:52A,FAIL TO DISP. MUNI METER RECPT,,65.0,0.0,0.0,65.0,0.0,0.0,17.0,NY,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVaM2hOUkdzeFRVRTlQUT09&locationName=_____________________)
4,EKV2011,NY,PAS,7283436182,11/30/2010,,,,,,,,,,,,,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wSk5FMTZVWHBPYWtVMFRXYzlQUT09&locationName=_____________________)
5,T525406C,NY,OMT,7423131088,12/18/2014,12:13P,NO PARKING-STREET CLEANING,04/16/2015,45.0,60.0,27.9,0.0,132.9,0.0,44.0,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wUmVVMTZSWHBOVkVFMFQwRTlQUT09&locationName=_____________________)
6,83188JY,NY,COM,4677679654,01/29/2020,07:31A,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,QN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk0wNTZXVE5QVkZreFRrRTlQUT09&locationName=_____________________)
7,2028140,IN,PAS,8478811138,03/27/2017,04:47P,FAIL TO DISP. MUNI METER RECPT,,65.0,0.0,0.0,65.0,0.0,0.0,17.0,NY,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVaM2hOVkVWNlQwRTlQUT09&locationName=_____________________)
8,EGT6550,NY,PAS,8564407346,06/10/2017,08:45A,NO PARKING-STREET CLEANING,,45.0,0.0,0.0,0.0,45.0,0.0,102.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNUVVWGRPZWswd1RtYzlQUT09&locationName=_____________________)
9,GJY2896,NY,PAS,8478811059,03/27/2017,01:49P,NO STANDING-EXC. TRUCK LOADING,,95.0,10.0,0.0,0.0,105.0,0.0,17.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVaM2hOVkVFeFQxRTlQUT09&locationName=_____________________)
10,ASW2918,NY,PAS,8599263390,11/12/2017,07:36A,REG. STICKER-EXPIRED/MISSING,,65.0,0.0,0.0,0.0,65.0,0.0,19.0,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5VOVVTVEpOZWswMVRVRTlQUT09&locationName=_____________________)
11,ASW2918,NY,PAS,8599263407,11/12/2017,07:37A,FRONT OR BACK PLATE MISSING,,65.0,0.0,0.0,0.0,65.0,0.0,19.0,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5VOVVTVEpOZWxGM1RuYzlQUT09&locationName=_____________________)
12,96090MA,NY,COM,8599263493,11/14/2017,12:16P,NO STOPPING-DAY/TIME LIMITS,,115.0,0.0,0.0,23.0,92.0,0.0,24.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5VOVVTVEpOZWxFMVRYYzlQUT09&locationName=_____________________)
13,61708MD,NY,COM,8599263626,11/14/2017,01:08P,NO PARKING-DAY/TIME LIMITS,,65.0,0.0,0.0,65.0,0.0,0.0,20.0,NY,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5VOVVTVEpOZWxsNVRtYzlQUT09&locationName=_____________________)
14,31440JV,NY,COM,8599306364,10/06/2017,02:06P,FIRE HYDRANT,,115.0,0.0,0.0,10.0,105.0,0.0,9.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5VOVVUWGRPYWsweVRrRTlQUT09&locationName=_____________________)
15,96562MJ,NY,COM,8599312170,11/01/2017,12:45P,FAIL TO DISP. MUNI METER RECPT,,65.0,0.0,0.0,37.0,28.0,0.0,9.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5VOVVUWGhOYWtVelRVRTlQUT09&locationName=_____________________)
16,96648MJ,NY,COM,8599312194,11/01/2017,12:49P,FIRE HYDRANT,,115.0,0.0,0.0,10.0,105.0,0.0,9.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5VOVVUWGhOYWtVMVRrRTlQUT09&locationName=_____________________)
